borrower_id,ssn,FIRST_NAME LAST_NAME,ADDRESS CITY STATE,phone,ID
000001,850-47-3740,MARK MORGAN,5677 COOLIDGE STREET PLANO TX,(469) 904-1438,1
000002,256-95-4382,ERIC WARREN,9062 SCHURZ DRIVE DALLAS TX,(214) 701-8127,2
000003,256-51-5268,ROBERT HARPER,7786 SACHS PLACE PLANO TX,(214) 875-5911,3
000004,976-95-2914,DONNA FRANKLIN,3 MAGDELINE TERRACE PLANO TX,(214) 800-6127,4
000005,906-63-3588,LINDA KING,41260 KEDZIE TERRACE DALLAS TX,(469) 213-2549,5
000006,206-26-7141,JUDY HOLMES,6583 MANITOWISH HILL DALLAS TX,(972) 898-5909,6
000007,898-61-3567,DEBORAH LAWRENCE,2 HERMINA TRAIL DALLAS TX,(972) 900-2951,7
000008,644-25-0492,ADAM JOHNSTON,05671 NORWAY MAPLE COURT DALLAS TX,(469) 743-0176,8
000009,678-12-4697,PAMELA CARR,1848 FORDEM AVENUE RICHARDSON TX,(972) 247-9852,9
000010,562-33-7951,DANIEL FISHER,400 CODY LANE PLANO TX,(214) 891-7743,10
000011,441-90-7753,STEPHEN FIELDS,99 FAIR OAKS DRIVE PLANO TX,(214) 801-3069,11
000012,305-53-3736,WALTER FERGUSON,814 SUTTERIDGE POINT DALLAS TX,(469) 945-8172,12
000013,634-61-6311,PAUL COOK,58295 PIERSTORFF PASS RICHARDSON TX,(469) 932-0168,13
000014,661-24-6360,ROY SMITH,563 FAIRVIEW PARK DALLAS TX,(214) 911-4724,14
000015,350-83-8412,MICHELLE GARDNER,28309 PAGET COURT PLANO TX,(469) 974-2681,15
000016,439-75-5475,GEORGE POWELL,31 CLOVE CROSSING DALLAS TX,(972) 885-7291,16
000017,431-61-5822,NICHOLAS HUDSON,29 ESKER TRAIL DALLAS TX,(469) 698-4000,17
000018,879-82-7179,LINDA HENDERSON,117 KATIE CENTER DALLAS TX,(469) 997-0832,18
000019,484-96-1826,GREGORY FOWLER,42454 HERMINA PLAZA DALLAS TX,(214) 936-8301,19
000020,562-52-7080,CAROL SANDERS,99600 MOLAND WAY DALLAS TX,(214) 762-1061,20
000021,876-61-5170,MARK HAMILTON,76425 DIXON HILL DALLAS TX,(972) 802-7903,21
000022,139-71-1123,ANTHONY BROWN,8691 WALTON TERRACE DALLAS TX,(972) 947-3376,22
000023,239-16-6210,JAMES RIVERA,4 GOLDEN LEAF TRAIL DALLAS TX,(214) 761-8129,23
000024,283-06-7717,TAMMY COLE,22 ATWOOD PARKWAY DALLAS TX,(469) 292-1882,24
000025,371-60-9878,DONALD BOWMAN,196 GOLF VIEW TERRACE DALLAS TX,(214) 956-6083,25
000026,438-78-7652,SUSAN GOMEZ,601 WARBLER POINT RICHARDSON TX,(972) 877-1341,26
000027,893-37-1519,JUAN MARTIN,846 JOHNSON CIRCLE DALLAS TX,(214) 828-5694,27
000028,434-92-5388,SAMUEL BAILEY,1367 NORTHPORT DRIVE DALLAS TX,(972) 972-2250,28
000029,444-50-9807,PAUL WHITE,24775 MELVIN PLACE DALLAS TX,(469) 459-4087,29
000030,557-41-0386,GREGORY CLARK,259 PORTER AVENUE DALLAS TX,(972) 979-5771,30
000031,123-99-1439,STEVEN WOOD,852 DARWIN ALLEY DALLAS TX,(214) 984-2801,31
000032,507-26-2481,JESSICA FULLER,975 CARPENTER PARKWAY DALLAS TX,(972) 956-5055,32
000033,258-33-5117,DONNA GREENE,86 DELLADONNA LANE DALLAS TX,(469) 969-6535,33
000034,876-94-4518,EDWARD FORD,34 FULTON CIRCLE DALLAS TX,(214) 869-1555,34
000035,153-20-8011,STEVE TORRES,781 LOEPRICH ALLEY DALLAS TX,(469) 964-7789,35
000036,881-79-3670,ALICE RIVERA,79 DAYTON CENTER DALLAS TX,(214) 841-3416,36
000037,878-61-5560,JESSICA FREEMAN,27997 LOFTSGORDON LANE DALLAS TX,(214) 835-4205,37
000038,728-84-4113,KENNETH HARRISON,25074 HOLMBERG PARK RICHARDSON TX,(972) 774-1504,38
000039,792-17-4540,BETTY AUSTIN,4 SCHMEDEMAN TERRACE DALLAS TX,(972) 927-7561,39
